,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
325,滨江东方海岸(萧山),,,,住宅,萧山,,,,,
326,郡原相江公寓,,,,住宅,上城,,,,,
327,金都夏宫,,,,住宅,临平区,建面 89-190㎡,,,89.0,190.0
328,保亿丽景山,,,,别墅,余杭,,,,,
329,茂宸金座,总价2660(万/套),70000.0, 元/㎡(均价),住宅,上城,建面 220㎡,2660.0,2660.0,220.0,220.0
330,新城峯璟,,,,住宅,余杭,,,,,
331,金都夏宫,,,,别墅,临平区,建面 217-289㎡,,,217.0,289.0
332,杭钢尚堂府,,,,住宅,拱墅,,,,,
333,万科坤和玉泉,,,,住宅,西湖,,,,,
334,佳源名城,,,,住宅,临平区,,,,,
335,昆盛肖邦,,,,住宅,上城,建面 116㎡,,,116.0,116.0
336,中栋国际,总价580(万/套),35000.0, 元/㎡(均价),住宅,萧山,建面 30-192㎡,580.0,580.0,30.0,192.0
337,阳光城翡丽湾,,,,住宅,上城,,,,,
338,坤和和家园,,,,住宅,西湖,建面 183-367㎡,,,183.0,367.0
339,协安蓝郡,,,,住宅,余杭,,,,,
340,保利梧桐语,,,,住宅,上城,,,,,
341,新天地中心,总价159(万/套),29000.0, 元/㎡(均价),商业类,拱墅,建面 55-130㎡,159.0,159.0,55.0,130.0
342,首开武林8栋,,,,住宅,拱墅,建面 109㎡,,,109.0,109.0
343,恒基旭辉府,,,,住宅,临平区,,,,,
344,坤和和家园,1180,, (万/套)(总价),别墅,西湖,建面 330㎡,1180.0,1180.0,330.0,330.0
345,恒大城市之光,总价371(万/套),31000.0, 元/㎡(均价),住宅,滨江,建面 89㎡,371.0,371.0,89.0,89.0
346,银杏汇,,,,住宅,滨江,,,,,
347,融创瑷颐湾,,,,住宅,余杭,,,,,
348,赞成杭家,,,,住宅,临平区,,,,,
349,赞成首府,,,,住宅,临平区,,,,,
350,欧美金融城,,,,住宅,余杭,,,,,
351,阳光城上府,,,,住宅,萧山,,,,,
352,欧美金融城,,,,商业类,余杭,建面 38-42㎡,,,38.0,42.0
353,武林壹号,,,,住宅,拱墅,建面 412㎡,,,412.0,412.0
354,中栋国际,,,,商业类,萧山,,,,,
