,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
13037,临汾名城 ,815.0,万,62983.0,3室2厅 | 129.4平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,彭浦,129.4,121.466002,31.310868,31.310868,9.177531297630196
13038,临汾名城 ,765.0,万,69972.0,3室2厅 | 109.33平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,彭浦,109.33,121.466002,31.310868,31.310868,9.177531297630196
13039,兴泉小区 ,350.0,万,58179.0,2室1厅 | 60.16平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,彭浦,60.16,121.440235,31.316153,31.316153,10.27321671345687
13040,星纪花苑 ,598.0,万,59261.0,3室1厅 | 100.91平米 | 南 北 | 简装 | 高楼层(共15层) | 1996年建 | 塔楼,彭浦,100.91,121.447396,31.312528,31.312528,9.68586339494162
13041,共和新路4605弄 ,563.0,万,59990.0,3室1厅 | 93.85平米 | 南 | 精装 | 低楼层(共13层) | 1996年建 | 塔楼,彭浦,93.85,121.44891,31.316724,31.316724,10.09978628779821
13042,场中路2471弄 ,288.0,万,56760.0,1室1厅 | 50.74平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,彭浦,50.74,121.442937,31.305564,31.305564,9.07591301916362
13043,保平小区 ,390.0,万,59570.0,2室1厅 | 65.47平米 | 南 | 简装 | 低楼层(共13层) | 1993年建 | 塔楼,彭浦,65.47,121.45157,31.314732,31.314732,9.824549913462771
13044,共康四村 ,209.0,万,56138.0,1室1厅 | 37.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,彭浦,37.23,121.436268,31.317599,31.317599,10.551276911847214
13045,彭豪公寓 ,400.0,万,58157.0,2室1厅 | 68.78平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,68.78,121.439553,31.309503,31.309503,9.598106691022203
13046,星纪花苑 ,442.0,万,57291.0,3室1厅 | 77.15平米 | 南 | 简装 | 低楼层(共15层) | 1996年建 | 塔楼,彭浦,77.15,121.447396,31.312528,31.312528,9.68586339494162
13047,和源名城 ,700.0,万,58020.0,3室2厅 | 120.65平米 | 南 北 | 精装 | 高楼层(共33层) | 2011年建 | 塔楼,彭浦,120.65,121.466516,31.317471,31.317471,9.905419013049183
13048,银都一村 ,218.0,万,58180.0,1室0厅 | 37.47平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,彭浦,37.47,121.442277,31.317483,31.317483,10.353478560123179
13049,银都一村 ,283.0,万,57521.0,1室1厅 | 49.2平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,49.2,121.442277,31.317483,31.317483,10.353478560123179
13050,三泉路424弄 ,252.0,万,58213.0,1室1厅 | 43.29平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,彭浦,43.29,121.441546,31.308598,31.308598,9.43835083823575
13051,康平小区 ,252.9,万,64980.0,2室0厅 | 38.92平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,彭浦,38.92,121.450144,31.312187,31.312187,9.58150059566024
13052,驰骋新苑 ,278.0,万,54920.0,1室1厅 | 50.62平米 | 北 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,50.62,121.446257,31.283504,31.283504,6.678636303493827
13053,闻喜路1223弄 ,305.0,万,57985.0,2室0厅 | 52.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,彭浦,52.6,121.442336,31.307740,31.30774,9.323223659904809
13054,共康四村 ,215.0,万,57303.0,1室1厅 | 37.52平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,彭浦,37.52,121.436268,31.317599,31.317599,10.551276911847214
13055,闻喜华庭 ,1070.0,万,84847.0,3室2厅 | 126.11平米 | 南 北 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,彭浦,126.11,121.446013,31.306998,31.306998,9.133863411630825
13056,岭南公寓 ,940.0,万,43497.0,4室3厅 | 216.11平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,216.11,121.45698,31.316087,31.316087,9.869062026230944
13057,康平小区 ,209.0,万,59124.0,1室0厅 | 35.35平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,彭浦,35.35,121.450144,31.312187,31.312187,9.58150059566024
13058,平保小区 ,198.0,万,54501.0,1室0厅 | 36.33平米 | 南 | 简装 | 高楼层(共5层) | 1993年建 | 板楼,彭浦,36.33,121.4533,31.317413,31.317413,10.080360923730245
13059,康平小区 ,330.0,万,62312.0,2室0厅 | 52.96平米 | 北 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,彭浦,52.96,121.450144,31.312187,31.312187,9.58150059566024
13060,新汾小区 ,323.0,万,57372.0,2室1厅 | 56.3平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,彭浦,56.3,121.449391,31.314240,31.31424,9.820603375700363
13061,汾西小区 ,205.0,万,56381.0,1室1厅 | 36.36平米 | 南 | 精装 | 高楼层(共4层) | 1991年建 | 板楼,彭浦,36.36,121.463196,31.314595,31.314595,9.618398038006337
